Time	CID	Xcord	Ycord	BotID	Energy
1128.19	3	250.00	0.00	2	3874.68750
1128.25	3	250.00	0.00	2	3905.62500
1128.31	3	250.00	0.00	2	3936.56250
1128.38	3	250.00	0.00	2	3967.50000
1128.44	3	250.00	0.00	2	3998.43750
1128.50	3	250.00	0.00	2	4029.37500
1128.56	3	250.00	0.00	2	4060.31250
1128.63	3	250.00	0.00	2	4091.25000
1128.69	3	250.00	0.00	2	4122.18750
1128.75	3	250.00	0.00	2	4153.12500
1128.81	3	250.00	0.00	2	4184.06250
1128.88	3	250.00	0.00	2	4215.00000
1128.94	3	250.00	0.00	2	4245.93750
1129.00	3	250.00	0.00	2	4276.87500
1129.06	3	250.00	0.00	2	4307.81250
1129.13	3	250.00	0.00	2	4338.75000
1129.19	3	250.00	0.00	2	4369.68750
1129.25	3	250.00	0.00	2	4400.62500
1129.31	3	250.00	0.00	2	4431.56250
1129.38	3	250.00	0.00	2	4462.50000
1129.44	3	250.00	0.00	2	4493.43750
1129.50	3	250.00	0.00	2	4524.37500
1129.56	3	250.00	0.00	2	4555.31250
1129.63	3	250.00	0.00	2	4586.25000
1129.69	3	250.00	0.00	2	4617.18750
1129.75	3	250.00	0.00	2	4648.12500
1129.81	3	250.00	0.00	2	4679.06250
1129.88	3	250.00	0.00	2	4710.00000
1129.94	3	250.00	0.00	2	4740.93750
1130.00	3	250.00	0.00	2	4771.87500
1130.06	3	250.00	0.00	2	4802.81250
1130.13	3	250.00	0.00	2	4833.75000
1130.19	3	250.00	0.00	2	4864.68750
1130.25	3	250.00	0.00	2	4895.62500
1130.31	3	250.00	0.00	2	4926.56250
1130.38	3	250.00	0.00	2	4957.50000
1130.44	3	250.00	0.00	2	4988.43750
1130.50	3	250.00	0.00	2	5019.37500
1130.56	3	250.00	0.00	2	5050.31250
1130.63	3	250.00	0.00	2	5081.25000
1130.69	3	250.00	0.00	2	5112.18750
1130.75	3	250.00	0.00	2	5143.12500
1130.81	3	250.00	0.00	2	5174.06250
1130.88	3	250.00	0.00	2	5205.00000
1130.94	3	250.00	0.00	2	5235.93750
1131.00	3	250.00	0.00	2	5266.87500
1131.06	3	250.00	0.00	2	5297.81250
1131.13	3	250.00	0.00	2	5328.75000
1131.19	3	250.00	0.00	2	5359.68750
1131.25	3	250.00	0.00	2	5390.62500
1131.31	3	250.00	0.00	2	5421.56250
1131.38	3	250.00	0.00	2	5452.50000
1131.44	3	250.00	0.00	2	5483.43750
1131.50	3	250.00	0.00	2	5514.37500
1131.56	3	250.00	0.00	2	5545.31250
1131.63	3	250.00	0.00	2	5576.25000
1131.69	3	250.00	0.00	2	5607.18750
1131.75	3	250.00	0.00	2	5638.12500
1131.81	3	250.00	0.00	2	5669.06250
1131.88	3	250.00	0.00	2	5700.00000
1131.94	3	250.00	0.00	2	5730.93750
1132.00	3	250.00	0.00	2	5761.87500
1132.06	3	250.00	0.00	2	5792.81250
1132.13	3	250.00	0.00	2	5823.75000
1132.19	3	250.00	0.00	2	5854.68750
1132.25	3	250.00	0.00	2	5885.62500
1132.31	3	250.00	0.00	2	5916.56250
1132.38	3	250.00	0.00	2	5947.50000
1132.44	3	250.00	0.00	2	5978.43750
1132.50	3	250.00	0.00	2	6009.37500
1132.56	3	250.00	0.00	2	6040.31250
1132.63	3	250.00	0.00	2	6071.25000
1132.69	3	250.00	0.00	2	6102.18750
1132.75	3	250.00	0.00	2	6133.12500
1132.81	3	250.00	0.00	2	6164.06250
1132.88	3	250.00	0.00	2	6195.00000
1132.94	3	250.00	0.00	2	6225.93750
1133.00	3	250.00	0.00	2	6256.87500
1133.06	3	250.00	0.00	2	6287.81250
1133.13	3	250.00	0.00	2	6318.75000
1133.19	3	250.00	0.00	2	6349.68750
1133.25	3	250.00	0.00	2	6380.62500
1133.31	3	250.00	0.00	2	6411.56250
1133.38	3	250.00	0.00	2	6442.50000
1133.44	3	250.00	0.00	2	6473.43750
1133.50	3	250.00	0.00	2	6504.37500
1133.56	3	250.00	0.00	2	6535.31250
1133.63	3	250.00	0.00	2	6566.25000
1133.69	3	250.00	0.00	2	6597.18750
1133.75	3	250.00	0.00	2	6628.12500
1133.81	3	250.00	0.00	2	6659.06250
1133.88	3	250.00	0.00	2	6690.00000
1133.94	3	250.00	0.00	2	6720.93750
1134.00	3	250.00	0.00	2	6751.87500
1134.06	3	250.00	0.00	2	6782.81250
1134.13	3	250.00	0.00	2	6813.75000
1134.19	3	250.00	0.00	2	6844.68750
1134.25	3	250.00	0.00	2	6875.62500
1134.31	3	250.00	0.00	2	6906.56250
1134.38	3	250.00	0.00	2	6937.50000
1134.44	3	250.00	0.00	2	6968.43750
1134.50	3	250.00	0.00	2	6999.37500
1134.56	3	250.00	0.00	2	7030.31250
1134.63	3	250.00	0.00	2	7061.25000
1134.69	3	250.00	0.00	2	7092.18750
1134.75	3	250.00	0.00	2	7123.12500
1134.81	3	250.00	0.00	2	7154.06250
1134.88	3	250.00	0.00	2	7185.00000
1134.94	3	250.00	0.00	2	7215.93750
1135.00	3	250.00	0.00	2	7246.87500
1135.06	3	250.00	0.00	2	7277.81250
1135.13	3	250.00	0.00	2	7308.75000
1135.19	3	250.00	0.00	2	7339.68750
1135.25	3	250.00	0.00	2	7370.62500
1135.31	3	250.00	0.00	2	7401.56250
1135.38	3	250.00	0.00	2	7432.50000
1135.44	3	250.00	0.00	2	7463.43750
1135.50	3	250.00	0.00	2	7494.37500
1135.56	3	250.00	0.00	2	7525.31250
1135.63	3	250.00	0.00	2	7556.25000
1135.69	3	250.00	0.00	2	7587.18750
1135.75	3	250.00	0.00	2	7618.12500
1135.81	3	250.00	0.00	2	7649.06250
1135.88	3	250.00	0.00	2	7680.00000
1135.94	3	250.00	0.00	2	7710.93750
1136.00	3	250.00	0.00	2	7741.87500
1136.06	3	250.00	0.00	2	7772.81250
1136.13	3	250.00	0.00	2	7803.75000
1136.19	3	250.00	0.00	2	7834.68750
1136.25	3	250.00	0.00	2	7865.62500
1136.31	3	250.00	0.00	2	7896.56250
1136.38	3	250.00	0.00	2	7927.50000
1136.44	3	250.00	0.00	2	7958.43750
1136.50	3	250.00	0.00	2	7989.37500
1136.56	3	250.00	0.00	2	8020.31250
1136.63	3	250.00	0.00	2	8051.25000
1136.69	3	250.00	0.00	2	8082.18750
1136.75	3	250.00	0.00	2	8113.12500
1136.81	3	250.00	0.00	2	8144.06250
1136.88	3	250.00	0.00	2	8175.00000
1136.94	3	250.00	0.00	2	8205.93750
1137.00	3	250.00	0.00	2	8236.87500
1137.06	3	250.00	0.00	2	8267.81250
1137.13	3	250.00	0.00	2	8298.75000
1137.19	3	250.00	0.00	2	8329.68750
1137.25	3	250.00	0.00	2	8360.62500
1137.31	3	250.00	0.00	2	8391.56250
1137.38	3	250.00	0.00	2	8422.50000
1137.44	3	250.00	0.00	2	8453.43750
1137.50	3	250.00	0.00	2	8484.37500
1137.56	3	250.00	0.00	2	8515.31250
1137.63	3	250.00	0.00	2	8546.25000
1137.69	3	250.00	0.00	2	8577.18750
1137.75	3	250.00	0.00	2	8608.12500
1137.81	3	250.00	0.00	2	8639.06250
1137.88	3	250.00	0.00	2	8670.00000
1137.94	3	250.00	0.00	2	8700.93750
1138.00	3	250.00	0.00	2	8731.87500
1138.06	3	250.00	0.00	2	8762.81250
1138.13	3	250.00	0.00	2	8793.75000
1138.19	3	250.00	0.00	2	8824.68750
1138.25	3	250.00	0.00	2	8855.62500
1138.31	3	250.00	0.00	2	8886.56250
1138.38	3	250.00	0.00	2	8917.50000
1138.44	3	250.00	0.00	2	8948.43750
1138.50	3	250.00	0.00	2	8979.37500
1138.56	3	250.00	0.00	2	9010.31250
1138.63	3	250.00	0.00	2	9041.25000
1138.69	3	250.00	0.00	2	9072.18750
1138.75	3	250.00	0.00	2	9103.12500
1138.81	3	250.00	0.00	2	9134.06250
1138.88	3	250.00	0.00	2	9165.00000
1138.94	3	250.00	0.00	2	9195.93750
1139.00	3	250.00	0.00	2	9226.87500
1139.06	3	250.00	0.00	2	9257.81250
1139.13	3	250.00	0.00	2	9288.75000
1139.19	3	250.00	0.00	2	9319.68750
1139.25	3	250.00	0.00	2	9350.62500
1139.31	3	250.00	0.00	2	9381.56250
1139.38	3	250.00	0.00	2	9412.50000
1139.44	3	250.00	0.00	2	9443.43750
1139.50	3	250.00	0.00	2	9474.37500
1139.56	3	250.00	0.00	2	9505.31250
1139.63	3	250.00	0.00	2	9536.25000
1139.69	3	250.00	0.00	2	9567.18750
1139.75	3	250.00	0.00	2	9598.12500
1139.81	3	250.00	0.00	2	9629.06250
1139.88	3	250.00	0.00	2	9660.00000
1139.94	3	250.00	0.00	2	9690.93750
1140.00	3	250.00	0.00	2	9721.87500
1140.06	3	250.00	0.00	2	9752.81250
1140.13	3	250.00	0.00	2	9783.75000
1140.19	3	250.00	0.00	2	9814.68750
1140.25	3	250.00	0.00	2	9845.62500
1140.31	3	250.00	0.00	2	9876.56250
1140.38	3	250.00	0.00	2	9907.50000
1140.44	3	250.00	0.00	2	9938.43750
1140.50	3	250.00	0.00	2	9969.37500
1140.56	3	250.00	0.00	2	10000.31250
1140.63	3	250.00	0.00	2	10031.25000
1140.69	3	250.00	0.00	2	10062.18750
1140.75	3	250.00	0.00	2	10093.12500
1140.81	3	250.00	0.00	2	10124.06250
1140.88	3	250.00	0.00	2	10155.00000
1140.94	3	250.00	0.00	2	10185.93750
1141.00	3	250.00	0.00	2	10216.87500
1141.06	3	250.00	0.00	2	10247.81250
1141.13	3	250.00	0.00	2	10278.75000
1141.19	3	250.00	0.00	2	10309.68750
1141.25	3	250.00	0.00	2	10340.62500
1141.31	3	250.00	0.00	2	10371.56250
1141.38	3	250.00	0.00	2	10402.50000
1141.44	3	250.00	0.00	2	10433.43750
1141.50	3	250.00	0.00	2	10464.37500
1141.56	3	250.00	0.00	2	10495.31250
