Time	SID	LSize	RTaskID	BotID	Mode
153.06	2	1	1	0	RECV
178.06	0	1	2	1	RECV
466.88	2	0	1	4	GIV
503.69	5	1	3	2	RECV
529.06	2	1	4	3	RECV
539.31	0	0	2	4	GIV
825.56	4	1	5	3	RECV
839.00	4	2	6	2	RECV
840.13	2	0	4	4	GIV
868.63	5	0	3	0	GIV
1189.38	4	1	6	2	GIV
1281.69	4	0	5	4	GIV
1281.75	4	1	5	4	RECV
1329.69	1	1	8	3	RECV
1349.69	5	1	7	1	RECV
1685.94	0	1	10	4	RECV
1730.06	1	2	9	0	RECV
1821.50	1	3	11	0	RECV
1880.25	1	2	9	0	GIV
1976.81	0	0	10	4	GIV
2197.50	1	3	12	0	RECV
2443.94	1	2	12	0	GIV
2447.75	1	3	13	1	RECV
2481.88	5	2	11	3	RECV
2602.81	3	1	14	4	RECV
2658.06	3	2	15	4	RECV
2727.88	1	2	13	4	GIV
2727.94	1	3	13	4	RECV
2914.31	3	1	14	3	GIV
2914.38	3	2	14	3	RECV
2957.81	3	3	16	1	RECV
3310.94	5	3	17	3	RECV
3334.00	3	2	16	0	GIV
3334.06	3	3	16	0	RECV
3370.19	0	1	18	1	RECV
3428.19	1	4	15	4	RECV
3597.00	1	5	17	4	RECV
3678.38	0	0	18	4	GIV
3740.69	0	1	19	0	RECV
3833.94	2	1	20	3	RECV
3929.81	2	2	19	3	RECV
4036.94	0	2	20	0	RECV
4210.44	1	6	22	3	RECV
4256.81	3	4	21	1	RECV
4392.31	3	5	24	1	RECV
4409.75	1	5	22	3	GIV
4409.81	1	6	22	3	RECV
4420.63	3	4	21	4	GIV
4420.69	3	5	21	4	RECV
4455.13	5	4	23	0	RECV
4711.81	5	3	23	0	GIV
4711.88	5	4	23	0	RECV
4899.31	3	6	26	4	RECV
4981.88	3	7	25	1	RECV
5074.56	3	6	25	1	GIV
5144.63	3	5	26	4	GIV
5153.75	4	2	27	0	RECV
5158.00	4	3	28	0	RECV
5220.00	0	3	24	3	RECV
5515.63	4	2	27	1	GIV
5515.69	4	3	27	1	RECV
5552.31	2	3	29	0	RECV
5692.94	3	6	30	1	RECV
5878.88	3	7	29	1	RECV
6025.38	5	5	31	4	RECV
6052.50	2	4	30	0	RECV
6175.38	0	4	32	1	RECV
6313.94	5	4	31	4	GIV
6314.00	5	5	31	4	RECV
6514.50	0	3	32	4	GIV
6514.56	0	4	32	4	RECV
6540.63	4	4	34	3	RECV
6551.81	0	5	33	0	RECV
6665.56	0	4	33	0	GIV
6898.38	4	3	34	3	GIV
6898.44	4	4	34	3	RECV
6902.69	0	5	35	4	RECV
7008.50	1	7	36	0	RECV
7061.13	1	8	35	0	RECV
7156.00	0	6	36	4	RECV
7240.44	3	8	37	1	RECV
7432.00	3	7	37	4	GIV
7432.06	3	8	37	4	RECV
7444.88	2	5	38	3	RECV
7610.06	2	4	38	3	GIV
7616.69	5	6	39	0	RECV
7723.75	3	9	40	1	RECV
7898.56	5	5	39	0	GIV
7898.63	5	6	39	0	RECV
