Time	TaskID	AutoBotID	Purpose
0.00	1	0	ARRIVE
0.00	2	1	ARRIVE
399.31	3	2	ARRIVE
422.44	4	3	ARRIVE
448.63	2	4	ACTIVE
499.31	1	1	ACTIVE
773.94	5	4	ARRIVE
798.81	6	3	ARRIVE
825.44	4	2	ACTIVE
888.13	3	0	ACTIVE
1170.44	7	0	ARRIVE
1178.00	8	3	ARRIVE
1196.88	5	4	ACTIVE
1229.19	6	1	ACTIVE
1555.31	9	1	ARRIVE
1560.94	10	4	ARRIVE
1611.81	8	2	ACTIVE
1648.56	7	0	ACTIVE
1965.81	11	3	ARRIVE
1972.69	9	0	ACTIVE
1975.94	12	2	ARRIVE
1982.25	10	4	ACTIVE
2357.75	13	4	ARRIVE
2413.81	12	1	ACTIVE
2416.19	14	3	ARRIVE
2424.63	11	2	ACTIVE
2725.13	15	2	ARRIVE
2767.94	13	1	ACTIVE
2850.63	16	0	ARRIVE
2884.31	14	4	ACTIVE
3088.13	17	1	ARRIVE
3187.19	15	2	ACTIVE
3245.75	18	0	ARRIVE
3326.38	16	4	ACTIVE
3493.31	19	4	ARRIVE
3555.31	17	0	ACTIVE
3680.56	18	1	ACTIVE
3693.75	20	2	ARRIVE
3846.19	21	1	ARRIVE
3917.56	19	0	ACTIVE
